app_version,task_id,user_id,date,date_hour,time_spent_seconds,tasks_completed_at_dropout,rating
A,Task 1,07736719-4a6f-4d13-b43b-7a27c1aed2c9,20260411.0,2026041108.0,11.98,3,4
A,Task 3,07736719-4a6f-4d13-b43b-7a27c1aed2c9,20260411.0,2026041109.0,13.2,3,4
A,Task 2,07736719-4a6f-4d13-b43b-7a27c1aed2c9,20260411.0,2026041116.0,19.97,3,4
B,Task 5,0cc8e3c1-fe7e-4f3a-920c-cf7cfed7c65f,20260412.0,2026041208.0,5.01,9,3
B,Task 2,0cc8e3c1-fe7e-4f3a-920c-cf7cfed7c65f,20260412.0,2026041210.0,85.63,9,3
B,Task 4,0cc8e3c1-fe7e-4f3a-920c-cf7cfed7c65f,20260412.0,2026041216.0,207.42,9,3
B,Task 1,0cc8e3c1-fe7e-4f3a-920c-cf7cfed7c65f,20260412.0,2026041217.0,86.27,9,3
B,Task 7,0cc8e3c1-fe7e-4f3a-920c-cf7cfed7c65f,20260412.0,2026041218.0,66.01,9,3
B,Task 8,0cc8e3c1-fe7e-4f3a-920c-cf7cfed7c65f,20260412.0,2026041218.0,16.62,9,3
B,Task 9,0cc8e3c1-fe7e-4f3a-920c-cf7cfed7c65f,20260412.0,2026041220.0,73.61,9,3
B,Task 3,0cc8e3c1-fe7e-4f3a-920c-cf7cfed7c65f,20260413.0,2026041313.0,9.38,9,3
B,Task 6,0cc8e3c1-fe7e-4f3a-920c-cf7cfed7c65f,20260414.0,2026041409.0,812.15,9,3
A,Task 7,0d28e9a6-3fce-46c0-a5cd-a8b76bf1d331,20260412.0,2026041213.0,13.95,9,3
A,Task 8,0d28e9a6-3fce-46c0-a5cd-a8b76bf1d331,20260412.0,2026041215.0,8.25,9,3
A,Task 9,0d28e9a6-3fce-46c0-a5cd-a8b76bf1d331,20260412.0,2026041215.0,12.5,9,3
A,Task 3,0d28e9a6-3fce-46c0-a5cd-a8b76bf1d331,20260412.0,2026041216.0,19.92,9,3
A,Task 1,0d28e9a6-3fce-46c0-a5cd-a8b76bf1d331,20260412.0,2026041219.0,29.05,9,3
A,Task 5,0d28e9a6-3fce-46c0-a5cd-a8b76bf1d331,20260412.0,2026041219.0,60.01,9,3
A,Task 6,0d28e9a6-3fce-46c0-a5cd-a8b76bf1d331,20260412.0,2026041220.0,9.36,9,3
A,Task 4,0d28e9a6-3fce-46c0-a5cd-a8b76bf1d331,20260412.0,2026041222.0,52.18,9,3
A,Task 2,0d28e9a6-3fce-46c0-a5cd-a8b76bf1d331,20260413.0,2026041321.0,18.83,9,3
B,Task 4,0f1be914-7fb3-48b0-99de-40113d800b6d,20260406.0,2026040608.0,219.18,11,5
B,Task 3,0f1be914-7fb3-48b0-99de-40113d800b6d,20260406.0,2026040609.0,28.46,11,5
B,Task 8,0f1be914-7fb3-48b0-99de-40113d800b6d,20260406.0,2026040610.0,13.69,11,5
